id,name,lat,lng,type
6988,Titan II Transporter Site,28.33481,-80.20731,Structure
6989,Titan II Transporter Site,28.33199,-80.20098,Structure
6990,Titan II Transporter Site,28.34974,-80.203,Structure
6991,Titan II Transporter Site,28.33348,-80.20716,Structure
6992,Titan II Transporter Site,28.33548,-80.2065,Structure
6993,Titan II Transporter Site,28.33733,-80.20466,Structure
6994,Titan II Transporter Site,28.33668,-80.20408,Structure
6995,Titan II Transporter Site,28.33336,-80.20581,Structure
6996,Titan Transporter,28.33536,-80.20456,Structure
6997,Titty Hole,30.44369,-80.34779,Hole
6998,TNT Reef,40.06567,-73.99332,Reef
6999,TOD Sirod Reef B,26.1304,-82.03925,Reef
7000,Tolechester Reef,39.24268,-76.27027,Reef
7001,Tolten Shipwreck,39.89912,-73.80124,Wreck
7002,Tolten Wreck,39.89678,-73.8029,Structure
7003,Tom Boyette Reef,34.2625,-77.50933,Reef
7004,Tom Mcglammery Reef,33.85,-78.11028,Reef
7005,Tom Moore Rock,42.49518,-70.8298,Rock
7006,Tom Rock,43.73037,-69.71718,Rock
7007,Tom Russinelli Reef,39.47499,-74.18981,Reef
7008,Tom Tom Reef,29.48067,-94.7775,Reef
7009,Tom Wallin Reef M,27.31242,-82.71668,Reef
7010,Tommys Rock,42.48262,-70.79887,Rock
7011,Tongue Of The Reef,26.49397,-80.0383,Reef
7012,Tonys Hole,37.02321,-74.74278,Hole
7013,Tonys Hole,25.5872,-82.002,Hole
7014,Tonys Ledge,27.08342,-79.9686,Ledge
7015,Top Sail Ledge,34.26977,-77.55763,Ledge
7016,Topsail Reef,30.28538,-86.33983,Reef
7017,Topsail Reef,30.29312,-86.27545,Reef
7018,Topsail Reef,30.2867,-86.33123,Reef
7019,Topsail Reef,34.34972,-77.60305,Reef
7020,Topsail Reef 02 C,30.30023,-86.31432,Reef
7021,Topsail Reef 03 B,30.29583,-86.49468,Reef
7022,Topsl Ledge,34.18,-77.3118,Ledge
7023,Topsl Rock,34.0587,-77.20017,Rock
7024,Topsl Rock,34.39485,-77.16085,Rock
7025,Tote Machines,26.19683,-80.05516,Structure
7026,Tournament Reef,30.06505,-80.63596,Reef
7027,Tower,25.75303,-80.108,Tower
7028,Tower,25.8,-82.21667,Tower
7029,Tower Reef,36.9059,-75.71503,Reef
7030,Tower Reef,36.90361,-75.72639,Reef
7031,Tower Reef,39.18133,-74.54513,Reef
7032,Tower Spot,35.139,-75.294,Tower
7033,Towers,30.19027,-87.22787,Tower
7034,Towers,30.20728,-87.23178,Tower
7035,Towers,30.20807,-87.23775,Tower
7036,Towers,30.2107,-87.2328,Tower
7037,Townshead Ledge,41.20655,-72.85765,Ledge
7038,TR Rock,34.00271,-76.45574,Rock
7039,TR Rock,34.0077,-76.45573,Rock
7040,TR Site Anna,30.46299,-80.9295,Structure
7041,Tracy Teasure Tank,39.75352,-74.02923,Structure
7042,Train Wheel Wreck,25.142,-80.25783,Wreck
7043,Training Reef,30.37233,-86.50602,Reef
7044,Training Reef,30.37032,-86.49372,Reef
7045,Transport Rock,40.96101,-73.66566,Rock
7046,Trawler Wreck,40.39595,-73.85792,Wreck
7047,Treasure Island,27.75274,-82.88716,Structure
7048,Treasure Island,27.77643,-82.9129,Structure
7049,Treasure Island II Northeast Cluster,27.69479,-83.29066,Structure
7050,Treasure Island II Southeast Cluster,27.69368,-83.29028,Structure
7051,Treasure Island II Southwest Cluster,27.69356,-83.29156,Structure
7052,Treasure Island Reef,27.74553,-82.88086,Reef
7053,Treasure Island Reef,27.74167,-82.88083,Reef
7054,Trecarrell,37.85346,-75.2663,Structure
7055,Tremblay Reef,26.80583,-82.37833,Reef
7056,Trevors Ledge,38.48096,-76.65576,Ledge
7057,TRI Ledge,26.65055,-82.8818,Ledge
7058,TRI County Reef,26.74762,-80.00305,Reef
7059,Triangle Ledge,25.64706,-79.32172,Ledge
7060,Triangle Ledge,25.69746,-82.1058,Ledge
7061,Triangle Reef,29.50833,-94.84167,Reef
7062,Triangle Reef,36.99667,-75.40833,Reef
7063,Triangle Reef Ledge,27.33686,-82.83143,Reef
7064,Triangle Rocks,25.64714,-79.31256,Rock
7065,Trigger Hole,33.8521,-76.71713,Hole
7066,Trigger Hole,30.1776,-87.07958,Hole
7067,Trigger Ledge,35.14932,-75.15813,Ledge
7068,Trigger Ledge,27.55703,-80.09281,Ledge
7069,Triggerfish Hole,29.99667,-87.37833,Hole
7070,Triggerfish Reef,29.90001,-85.54417,Reef
7071,Trilevel Ledge,29.74162,-80.44182,Ledge
7072,Trio Bravo,26.14533,-80.07158,Structure
7073,Triple Nipple,27.37742,-80.14298,Hump
7074,Triple Wreck Area,39.51033,-72.78783,Reef
7075,Triple Wreck Area,39.57433,-72.96117,Reef
7076,Triple Wrecks,40.4285,-73.90333,Wreck
7077,Triple Wrecks,40.42917,-73.91383,Wreck
7078,Triumph Reef,25.48677,-80.11542,Reef
7079,Triumph Reef,25.4795,-80.11533,Reef
7080,Triumph Reef Light 2 TR,25.47833,-80.11217,Reef
7081,Trole Hole,29.82333,-87.185,Hole
7082,Trolly Car,30.00888,-87.07037,Structure
7083,Troop Carrier,39.69483,-74.1235,Structure
7084,Trout Rock,34.104,-77.84217,Rock
7085,Trout Rock,34.10802,-77.84509,Rock
7086,Trysler 01 Reef,29.92075,-87.5236,Reef
7087,Trysler 02 Reef,29.98593,-87.48343,Reef
7088,Trysler 05 Reef,29.91773,-87.45307,Reef
7089,Trysler 06 Reef,29.94565,-87.45532,Reef
7090,Trysler 11 Reef,29.94548,-87.38632,Reef
7091,Trysler LG Reef,29.95785,-87.41655,Reef
7092,Trysler Reef,29.95467,-87.40593,Reef
7093,Trysler Reef 1 GPS,29.89117,-87.47867,Reef
7094,Trysler Reef 2 GPS,29.93133,-87.523,Reef
7095,Tubbys Hole,34.09437,-77.67776,Hole
7096,Tug,29.00198,-87.71866,Structure
7097,Tug,29.06418,-87.70696,Structure
7098,Tug,30.0642,-87.70702,Structure
7099,Tug Boat,30.09875,-87.27505,Wreck
7100,Tug Boat Gerald Corcoran,29.99212,-88.51017,Wreck
7101,Tug Boat Grantee,29.62173,-88.40445,Wreck
7102,Tug Boat LEO,30.03347,-88.6942,Wreck
7103,Tug Boat Wreck,30.21027,-87.34013,Wreck
7104,Tug Born Again,30.13438,-87.23822,Structure
7105,Tug Born Again Towers,30.13872,-87.23695,Tower
7106,Tug Deliverance,30.18152,-87.23482,Structure
7107,Tug Kathleen,27.39683,-80.02495,Structure
7108,Tug Lesley Lee Reef,27.40219,-80.01857,Reef
7109,Tug Ocean Wind,30.18325,-87.20028,Structure
7110,Tug Phillip,30.13287,-87.21167,Structure
7111,Tug Upside Down Barge,29.96013,-87.67,Reef
7112,Tug Wreck,30.12065,-87.34467,Wreck
7113,Tug Wreck,28.255,-83.34322,Wreck
7114,Tug Wreck,40.53117,-73.739,Wreck
7115,Tug 1,37.83408,-75.24595,Structure
