name,type,category,region,latitude,longitude
Double Nipple,Hump,Humps,Florida to California,28.98300,-87.56500
Double Nipple,Hump,Humps,Florida to California,29.01667,-87.48333
East Cavallo Hump,Hump,Humps,Florida to California,28.41605,-96.38070
East Hump,Hump,Humps,Florida to California,24.46654,-80.71799
East Hump NW,Hump,Humps,Florida to California,24.53333,-80.60000
East Hump SE,Hump,Humps,Florida to California,24.60833,-80.75833
East Hump SW,Hump,Humps,Florida to California,24.45833,-80.64167
Enriques Hump,Hump,Humps,Florida to California,26.59392,-78.90699
Excalibur Hump,Hump,Humps,Florida to California,26.62102,-79.30767
Floyds Hump,Hump,Humps,Florida to California,27.38492,-79.66879
Freeport Hump,Hump,Humps,Florida to California,26.49793,-78.77575
Galveston Hump,Hump,Humps,Florida to California,28.98519,-94.25883
Good Hump,Hump,Humps,Florida to California,25.72620,-79.31030
Guana Hump,Hump,Humps,Florida to California,30.08018,-81.22533
GUN KAY Hump,Hump,Humps,Florida to California,25.58662,-79.41716
Halfway Hump,Hump,Humps,Florida to California,25.62507,-79.57438
Hump,Hump,Humps,Florida to California,25.71100,-79.94180
Hump,Hump,Humps,Florida to California,25.79030,-79.30160
Hump,Hump,Humps,Florida to California,29.35043,-80.48910
Hump,Hump,Humps,Florida to California,29.75590,-86.39142
Hump B,Hump,Humps,Florida to California,24.80582,-80.43893
Hump D,Hump,Humps,Florida to California,24.80987,-80.43804
Hump E,Hump,Humps,Florida to California,24.80985,-80.42985
Hump F,Hump,Humps,Florida to California,24.81314,-80.43744
Hump K,Hump,Humps,Florida to California,24.58954,-80.58980
Humps,Hump,Humps,Florida to California,30.44564,-80.34742
Humpty Dance,Hump,Humps,Florida to California,25.73806,-82.17932
Islamorada Hump,Hump,Humps,Florida to California,24.53498,-80.70000
Islamorada Hump,Hump,Humps,Florida to California,24.80292,-80.44457
Islhump 2,Hump,Humps,Florida to California,24.80444,-80.44620
Joes Deep Hump,Hump,Humps,Florida to California,27.04333,-79.59000
Jupiter Hump,Hump,Humps,Florida to California,26.93850,-79.79200
Long Island Hump,Hump,Humps,Florida to California,27.10959,-79.72451
LW Hump,Hump,Humps,Florida to California,26.74728,-79.99056
Meat Wagon Hump,Hump,Humps,Florida to California,28.59789,-89.84504
Middle Outer Hump NW,Hump,Humps,Florida to California,25.64257,-79.74632
Middle Outer Hump SE,Hump,Humps,Florida to California,25.63523,-79.73088
Mullet Hump,Hump,Humps,Florida to California,27.61974,-83.02422
Nine Mile Humps,Hump,Humps,Florida to California,25.90500,-79.95833
North Bimini Hump,Hump,Humps,Florida to California,25.77728,-79.30271
Outer Hump Middle,Hump,Humps,Florida to California,25.63981,-79.74002
Outer Hump Middle South,Hump,Humps,Florida to California,25.62028,-79.69710
Outer Hump NW,Hump,Humps,Florida to California,25.65924,-79.77897
Outer Hump SE,Hump,Humps,Florida to California,25.61329,-79.67063
Pipeline Hump,Hump,Humps,Florida to California,30.13858,-88.08478
Rebeccas Hump,Hump,Humps,Florida to California,26.99794,-79.91267
Redd S Hump,Hump,Humps,Florida to California,28.42250,-84.30785
Rick S Humps,Hump,Humps,Florida to California,28.31667,-83.05933
Ricks Hump,Hump,Humps,Florida to California,25.73000,-79.88167
Romano Hump,Hump,Humps,Florida to California,25.73024,-81.94091
Sashimi Hump,Hump,Humps,Florida to California,26.89440,-79.27842
Snapper Hump,Hump,Humps,Florida to California,28.33833,-94.41488
SPB Hump,Hump,Humps,Florida to California,26.58555,-79.78551
ST Augustine Hump,Hump,Humps,Florida to California,29.93834,-80.19604
ST Lucie Hump NE,Hump,Humps,Florida to California,27.16467,-80.14583
ST Lucie Hump NW,Hump,Humps,Florida to California,27.13333,-79.96667
ST Lucie Hump SE,Hump,Humps,Florida to California,27.13333,-80.00000
ST Lucie Humps,Hump,Humps,Florida to California,27.20000,-79.59583
ST Lucie Humps,Hump,Humps,Florida to California,27.22443,-79.61704
ST Lucie Humps,Hump,Humps,Florida to California,27.25000,-79.59583
Stock Hump,Hump,Humps,Florida to California,24.37807,-81.69907
Sullivans Hump,Hump,Humps,Florida to California,27.42093,-83.14698
Sunny Isles Hump,Hump,Humps,Florida to California,25.88500,-80.09147
Tavers Hump,Hump,Humps,Florida to California,29.55345,-84.02959
The 408 Hump,Hump,Humps,Florida to California,24.60128,-80.59538
The Hump,Hump,Humps,Florida to California,24.80132,-80.44503
The Hump,Hump,Humps,Florida to California,29.45162,-85.92763
The Hump Caves,Hump,Humps,Florida to California,29.46732,-85.92182
The Humps,Hump,Humps,Florida to California,28.41138,-80.29065
The Nipple,Hump,Humps,Florida to California,29.85000,-87.10000
The Nipple,Hump,Humps,Florida to California,29.85973,-87.09420
The Nipple,Hump,Humps,Florida to California,29.86100,-87.17900
The Nipple,Hump,Humps,Florida to California,29.87083,-86.89167
The Nipple,Hump,Humps,Florida to California,29.99167,-86.98750
The Nipple Center,Hump,Humps,Florida to California,29.69983,-87.26033
The Nipple East,Hump,Humps,Florida to California,29.88740,-87.07440
The Nipple West,Hump,Humps,Florida to California,29.75820,-87.33685
The West Hump,Hump,Humps,Florida to California,24.43538,-80.76000
Triple Nipple,Hump,Humps,Florida to California,27.37742,-80.14298
Twin Humps,Hump,Humps,Florida to California,28.83880,-80.65623
Two Humps,Hump,Humps,Florida to California,28.83848,-80.65152
Unknown Hump,Hump,Humps,Florida to California,24.48984,-80.66080
West Cavallo Hump,Hump,Humps,Florida to California,28.41667,-96.38832
West Hump,Hump,Humps,Florida to California,24.42547,-80.75765
WPB Hump,Hump,Humps,Florida to California,26.73811,-79.99166
1 Southeast Shoal Ledges,Ledge,Ledges,Florida to California,28.42333,-80.47000
10 Ledge,Ledge,Ledges,Florida to California,27.62917,-83.01992
10 Ledge,Ledge,Ledges,Florida to California,27.75532,-83.15075
10 Ledge,Ledge,Ledges,Florida to California,28.28512,-82.97002
10 Ledge 6,Ledge,Ledges,Florida to California,24.44274,-81.95901
100 Ydledge,Ledge,Ledges,Florida to California,30.31733,-80.38983
